,A
727,"2015 KB금융 한국컬링선수권대회는 4월 14일부터 4월 20일까지 경기도 인천시 선학국제빙상장에서 열렸다. 우승팀은 2015 한국컬링국가대표팀으로, 준우승팀은 2015 한국컬링올림픽팀으로 추천된다. 2015-16 시즌에는 남자부에 강원도청이, 여자부에 경기도청가 국가대표가 되었다. 예선 경기가 끝났을 때, 팀 순위 결정 기준은 다음과 같다. 2015년 4월 14일 19:30 (KST) 2014년 4월 15일 14:00 (KST) 2014년 4월 16일 9:00 (KST) 2014년 4월 16일 19:00 (KST) 2014년 4월 17일 14:00 (KST) 2014년 4월 18일 9:00 (KST)"
728,"중구 다운동과 남구 무거동을 잇는 삼호교에서 하구까지는 국가하천으로 지정되어 관리되고 있다. 울산광역시 남구의회의 의원 정수는 14명(지역구12+비례대표2)이다. 남구는 국회의원을 2명 선출한다. 현재 남구 갑 선거구의 국회의원은 초대·2대 민선 남구청장 이었던 이채익이고, 남구 을 선거구의 국회의원은 김기현(김기현 (1959년))이었으나 김기현은 울산광역시장 출마를 위해 사퇴하고 2014년 7월 30일 보궐선거에서 전 울산광역시장인 박맹우(박맹우 (1951년))가 당선되었다. 경상남도 울산시 남구에서는 경상남도의원 3명을 선출하였다. 울산시가 광역시로 승격한 이후에는 울산광역시의원 4명을 선출하다가 제5회 지방 선거부터 6명을 선출하고 있다. 울산 남구의 행정 구역은 19개의 법정동과 그것을 관리하는 14개의 행정동으로 구성되어 있다."
729,"아틀레티코의 홈 유니폼은 적색과 백색의 세로 줄무늬로 된 셔츠와 청색 바지로 이루어져 있으며, 양말은 청색과 적색으로 되어 있다. 이 조합은 1911년부터 사용되고 있다. 현재 아틀레티코 마드리드의 유니폼은 나이키에 의해 제조되며, 주 스폰서는 아제르바이잔이다. 이 클럽은 스페인 내에서 레알 마드리드와 바르셀로나에 이어 3번째로 많은 서포터 수를 지니고 있다. 또한 65,000명 이상의 시즌 티켓 소지자가 존재하며, 소시오 (유료 회원) 수 기준으로도 세계에서 가장 큰 클럽들 중 하나로 손꼽힌다."
730,"장피에르 소바주(, 1944년 10월 21일 ~ )는 스트라스부르 대학교에서 연구하는 프랑스의 배위화합물 화학자이다. 초분자화학에서의 공로가 인정을 받아 2016년 프레이저 스토다트 경과 베르나르트 페링하와 함께 노벨 화학상을 수상하였다. 프랑스 파리(파리 (프랑스))에서 1944년 태어나 프랑스 스트라스부르 대학교에서 지도교수 장마리 렌(1987년 노벨 화학상 수상자) 밑에서 박사학위를 취득하였다. 박사과정동안 크립탠드 리간드의 첫 합성을 하는데 기여하였다. 말콤 그린과 함께한 박사후 과정 연구가 끝난 후에 스트라스부르 대학교로 돌아와 교수로 재직했다. 이후 이산화탄소의 전기 화학적 감축 방법 및 광합성 반응중심의 모형과 같은 여러 분야에서 연구하였다. 주요 연구 주제는 분자 위상수학이며, 특히 기계적으로 맞물리는 분자 구조에 대해 연구하고 있다."
731,"3편의 영화 중 ""흔들리는 도쿄""에서 카가와 테루유키, 아오이 유우와 호흡을 맞췄다. 이 영화를 통해 멜로적 감수성 또한 인정 받았다. 2009년 5월, 4번째 장편 《마더(마더 (2009년 영화))》를 개봉했다. 살인 사건에 연루된 아들을 구하기 위해 고군분투하는 엄마의 이야기이며, 김혜자의 파격적인 연기 변신으로도 화제가 되었다. 영화 《마더(마더 (2009년 영화))》가 한국 영화 최초로 미국 비평가 협회에서 받은 외국어 영화상만 무려 7개로 보스톤평론가협회, 남동부비평가협회, 샌프란시스코 영화비평가협회 등에서 수상했다. 뿐만 아니라, 여주인공인 김혜자는 헐리우드 톱배우들을 제치고 LA 평론가협회 여우주연상을 수상하며 해외에서 큰 주목을 받았다. 봉준호 감독은 2011년 미국 최고 독립영화제인 선댄스영화제의 심사위원으로 위촉되기도 했다."
732,"가오싱젠(중국어: 高行健, 병음: Gāo Xíngjiàn 고행건, 1940년 1월 4일 ~ )은 중국에서 태어난 소설가, 극작가, 비평가, 번역가, 연출가, 화가이다. 그는 1940년 1월 4일 중국 장시 성 간저우에서 태어났으며 장쑤 성 타이저우에서 어린 시절을 보냈다. 그는 베이징 외국어 대학교에서 프랑스어 문학과를 전공하였지만 문화 대혁명 때에는 지식인 재교육 처분을 받는 등 어려움을 겪기도 했다. 그는 문화 대혁명이 끝난 후 번역가로 활동하기 시작했고 1978년 이후 여러 소설과 희곡을 발표하였다. 그러나 그의 전위적인 사상이 문제가 되자 중국 당국은 마오쩌둥을 비판했다는 이유로 그를 반체제 인사로 지목하였다. 결국 그는 1987년에 프랑스로 망명했으며 1998년에 프랑스 시민권을 취득했다. 1992년에 프랑스 정부로부터 예술 문학 훈장을 받았지만 그의 작품들은 중국에서 금서로 지정되었다."
733,"포데브라디(체코어: Poděbrady, 독일어: Podiebrad 포디브라트[*] )는 체코 중앙보헤미아 주에 위치한 도시로 면적은 33.70㎢, 높이는 185m, 인구는 14,032명(2011년 1월 1일 기준), 인구 밀도는 416명/㎢이다. 엘베 강과 접하며 프라하에서 동쪽으로 50km 정도 떨어진 곳에 위치한다."
734,"황보숭의 장사(長史)인 양연(梁衍)은 동탁을 공격할 것을 제안했으며, 당시 경조윤(京兆尹)이었던 갑훈(蓋勳)도 동탁을 토벌하자 했으나 모두 따르지 않고 낙양으로 갔다. 그러나 황보숭의 아들이고 동탁과의 사이가 친형제같았던 황보견수(皇甫堅壽)가 눈물로 호소한 것이 동탁의 마음을 움직여 그대로 조정에서 일하게 되었다. 동탁이 192년 왕윤(王允)과 여포(呂布)에게 살해당한 후 거기장군과 태상(太常) 등을 지냈다. 그러나 왕윤을 죽이고 정권을 잡은 이각(이각 (후한))(李傕)이 전횡을 일삼는 기간에 병이 들어 죽었다. 황보 숭(皇甫嵩, ? ~ 195년)은 중국 후한 말의 무장으로, 자는 의진(義眞)이며 양주(양주 (涼州))(凉州) 안정군(安定郡) 조나현(朝那縣) 사람이다. 황보숭은 문무를 겸비한 인물이 되기 위해 학문과 무예를 함께 익혔다."
735,"비주얼 스튜디오 코드는 2015년 4월 29일 마이크로소프트의 빌드 컨퍼런스에서 소개되었으며, 미리보기 버전이 공개되었다.[6]  그후, 2015년 11월 18일, 비주얼 스튜디오 코드는 MIT 라이선스하에 배포가 진행되었으며, 깃허브에 소스코드가 올라왔으며, 확장 지원또한 발표되었다.[7]  2016년 4월 14일, 비주얼 스튜디오 코드는 공개 미리보기 단계를 졸업하고, 공식적으로 웹에 릴리즈 되었다.[8]"
736,"전차는 마차철도의 동력인 마력을 대체할 에너지를 생각함으로써 개발되었다. 1879년에 독일의 전기 회사인 지멘스가 베를린 박람회에서의 시험주행을 시작으로, 1881년에는 베를린 교외에서의 운행이 개시되었다. 그 후 1887년에 미국에서 현재와 같은 방식의 노면 전차가 개발되어 사람들의 신뢰를 받으며 보급되었다. 전기 궤도(노면 전차)는 먼저 미국의 각 도시에서 보급되어 유럽 각국으로 뻗어나갔으나 1920년대 미국에서는 자가용이 보급되어 많은 도시에서 폐지되어 간다. 유럽의 일부에서도 런던, 파리(파리 (도시)) 등의 도시에서 폐지되었다. 한편, 구 소련과 서독 등에서 제2차 세계대전 후에도 노면 전차를 활용했다. 서독에서 소규모 노면 전차는 폐지 되었지만, 인구 20만 이상의 도시에서는 환승전철의 투입, 신용카드를 이용한 운임 납부 등의 서비스를 제공하였다."
737,"여자 인구 100명당 남자 인구를 나타내는 성비는 101.4로 남자가 다소 많다. 의왕시의 2012년 지역내 총생산은 4조9655억으로 경기도 지역내 총생산의 0.7%를 차지하고 있다. 이중 농림어업(1차산업)은 34억원으로 비중이 낮고 광업 및 제조업(2차산업)은 1조4852억원으로 29.9%의 비중으로 차지하고 상업 및 서비스업(3차산업)은 3조4769억원으로 70%의 비중을 차지한다. 3차산업 부문에서는 우리나라 철도 화물운송의 중심지로서 사업서비스업(7.7%)과 공공행정(7.6%), 도소매업(7.6%)이 큰 비중을 차지하고 있다. 2014년 의왕시 산업의 총 종사자수는 42,923명으로 경기도 총 종사자수의 1.0%를 차지하고 있다. 이중 농림어업(1차 산업)은 6명으로 비중이 낮고 광업 및 제조업(2차 산업)은 9,809명으로 22.9%의 비중으로 차지하고 상업 및 서비스업(3차 산업)은 33,108명으로 77.1%의 비중을 차지한다. 2차 산업은 경기도 전체의 비중(27.1%)보다 낮고 3차 산업은 경기도 전체 비중(72.9%)보다 높다."
738,"권위주의와도 유사한 것으로 보는 학자도 있으나, 권위주의·군부독재·문민독재 모두 그 본질은 큰 차이가 없다. 다만, 문민독재 때에는 선거에 의해 취임했다는 논리를 내세워 군부독재와 차별화하고 집권의 정당성을 항변하기 위한 도구로 이용하기도 한다. 독재와 문민 독재는 그 주도자가 다르다는 것 외에는 본질적으로 큰 차이가 없으나, 문민독재는 군부 독재에 비해 그 정체가 명확하게 드러나지 않아 국민들이 대개 덜 저항적이지만, 서서히 일어난 변화에 결국 속수무책으로 당하게 돼 대체로 비극적인 결말을 맞이하게 된다. 이승만 정권은 장기집권을 시도하다 결국 4·19 혁명으로 붕괴되어 불명예스럽게 결말이 났다. 이명박 정부도 때때로 의회를 무시하는 태도를 보이는 것에 대해 문민독재라는 비판을 받았다. 다른 나라의 경우 필리핀의 마르코스 정권과 싱가포르의 리콴유 정권을 대표적인 사례로 들 수 있고, 그 외에도 세계 여러 나라에서 이러한 형태의 독재가 이루어졌다. 그러나 싱가포르의 경우를 제외하면 대한민국의 모든 문민독재 정권을 포함하여 거의 대부분 비극적인 결말로 종료됐다."
739,"〈IN MY ARMS TONIGHT〉은 일본의 밴드 ZARD의 다섯 번째 싱글로, 1992년 9월 9일 발매되었다. (8cm CD: PODH-1094, POSH-1094) 곡은 사카이 이즈미가 작사하고, 하루하타 미치야(春畑道哉)가 작곡을, 아카시 마사오가 편곡을 맡았다. 이 곡은 동시기에 TBS 텔레비전을 통해 방송되었던 드라마 《학교가 위험해》의 테마송으로 사용되었다. 전작 〈잠 못드는 밤을 안고〉가 그랬듯, 이 역시 ZARD가 방송에 출연했던 몇 안되는 곡이다. 총 2회 출연했으며, 각각 10월 16일 TV 아사히의 《뮤직 스테이션》과, 10월 28일 후지 TV의 《뮤직 저널》의 방송분이다. B사이드 곡인 〈땀 속에서 CRY〉(汗の中でCRY 아세노나카데-)는 사카이 이즈미가 작사, 밴드 BLIZARD의 멤버 마츠카와 토시야(松川敏也)가 작곡을, 오자와 마사즈미(小澤正澄)와 이케다 다이스케(池田大介)가 편곡을 도맡았다. 이후 오자와는 15번째 싱글 〈사랑이 보이지 않아〉의 작곡을 맡았고, 이케다는 ZARD의 많은 곡들을 함께 한다."
740,"앨런 아이버슨(Allen Ezail Iverson, 1975년 6월 7일 ~ )은 전 미국의 농구 선수이다. 주 포지션은 슈팅가드로서, 신장 182cm, 체중 75kg의 신체조건을 지녔다. 조지타운 대학교를 졸업하였으며, 1996년 NBA드래프트 1라운드 1순위로 필라델피아 세븐티식서스에 지명되었다. 데뷔 첫 해, 리그 신인왕에 올랐으며, 총 4차례(98/99시즌, 00/01시즌, 01/02시즌, 04/05시즌)에 걸쳐 리그 전체 평균 득점 1위를 차지하였고, 00/01시즌에는 리그 MVP로 선정됨과 동시에 소속팀을 NBA final 준우승으로 이끌기도 하였다. 그는 작은 키에도 불구하고 앵클브레이커로 불리는 크로스오버 드리블과 장신의 선수들을 가볍게 제치는 볼 핸들링을 강점으로 하여 코트를 지배했다. 06/07시즌 중에 덴버 너기츠로 트레이드 되었고, 08/09시즌 중 다시 디트로이트 피스턴스로 트레이드 되었으나 시즌 이후에는 팀에서 방출되었으며, 09/10시즌을 앞두고는 멤피스 그리즐리스와 계약을 맺었지만 다시 3경기만에 방출되었다. 이에 한때는 은퇴를 선언하기도 하였으나 현재는 원 소속팀이었던 필라델피아 세븐티식서스로 복귀하여 활약했었다."
741,"장호원읍과 설성면의 경계를 이루는 설성산은 산 정상에 ‘설성’(雪城)이라 불리는 성이 있어 설성산이라는 이름을 얻게 되었다고 한다. ‘설성’이라는 명칭이 생기게 된 유래는 신라가 성 쌓을 마땅한 곳을 물색하기 위해 이천지방의 여러 산을 헤메다가 설성산에 와서보니 이상하게도 지금의 성이 쌓여진 자리에만 돌아가며 띠를 두른 듯 흰눈이 내려 있으므로 눈의 자취를 따라 성을 쌓고는 이름을 ‘설성’이라 했던 것이다.[1]  1914년 행정구역 개편시 이천군 설성면으로 개칭되었다. 1996년 법률 제4994호로 이천시로 승격하면서, 이천시 설성면이 되었다."
