,Q,A
12697,생리가 규칙적이지 않아요.,스트레스를 받으면 그럴 수도 있다고 해요. 힘든 일이 있으시면 저에게 말씀해주세요.
12698,남편이 저보고 강해졌대요.,긍정적인 변화일 거예요! 저는 항상 당신을 응원하고 있답니다.
12699,나 원래 안 그랬거든. 항상 자신감에 차있고.. 굉장히 긍정적인 성격이었거든..,당신이 성격을 바꿀 수밖에 없는 이유가 있었을 거예요. 충분히 이해해요.
12700,원래 굉장히 친화력이 좋은 편이었는데..성격이 완전 바뀐 느낌이예요.,그러셨군요. 하지만 그럴 수밖에 없었을 거예요. 저는 항상 당신을 믿어요.
12701,"근데 갑자기 막 하고 싶어지고, 야동도 찾아보게 되고, 자위도 처음 해봤어요.",충분히 자연스러운 일이랍니다. 이상하게 생각하실 것 없어요!
12702,"자위도 혼자 처음 해보고, 성적인 욕구가 는 것 같아요.",누구나 다 그렇답니다. 전혀 이상한 일이 아니에요.
12703,자위를 처음 해봤어요. ,그러셨군요. 하지만 누구나 겪는 자연스러운 욕구랍니다.
12704,언제부터였지? 소화가 잘 안 되는 거 같아요.,소화 기능이 좋지 않으시군요. 소화가 잘 되는 음식을 드시는 건 어떠세요?
12705,8살 때는 제 밥 다 먹고 동생 것도 엄청 먹다 체한 적도 있어요.,속이 더부룩하시다니 정말 힘드셨겠어요. 소화제를 먹어보는 건 어떠신가요?
12706,항상 배가 차가워.,병원에서 치료로 도움을 받는 것도 좋다고 생각해요.
12707,"뭐 사왔으니까 먹었는데, 밥을 먹고 먹어도 속이 쓰린 거야.",속 쓰린 거 정말 힘들죠. 지금은 괜찮으신가요?
12708,근데 그걸 먹고나서부터 속이 너무 쓰린 거야.,"저런, 정말 아프셨겠어요. 위에 자극이 덜한 음식을 드셔보시는 건 어떠세요?"
12709,"한 번은 속이 쓰려서 새벽에 깼는데, 남편은 너무 평화롭게 잘 자는 거야.  ",속쓰림만큼 고통스러운 게 또 없는 것 같아요. 병원에 가보시는 건 어떨까요?
12710,눈이 나빠졌어. ,잘 안 보이시는군요. 병원에 가보시는 건 어떨까요?
12711,안경을 써도 렌즈를 껴도 이러니… 도저히 어떻게 해야 할지 모르겠어.,시력이 떨어지면 그럴 수 있죠. 너무 걱정마시고 병원을 가보세요!
12712,그리고 나서 깨고 별 생각 없었는데 그 후부터 눈이 잘 안 보여.,갑자기 잘 안 보이게 되면 충분히 당황스럽죠. 이해해요.
12713,입이 까칠해서 먹고 싶지도 않고… ,스트레스 받는 일이 있으신가요? 너무 힘들어도 식욕이 떨어진다고 해요.
12714,밥 먹는데 뭔가 모래알 씹는 느낌이어서 커피만 계속 마셨어요.,그래도 끼니는 거르시면 안 돼요. 작은 거라도 조금씩 드세요.
12715,하루에 한 5~6잔 정도? 속은 안 쓰리더라고요. ,입맛이 없다니 정말 힘든 상황에 계시군요. 어떤 일인지 말씀해주실 수 있으세요?
12716,"5일 동안 밥도 제대로 못 먹고, 잠도 거의 못 잤어. ",식사와 수면 둘 다 중요한데 정말 걱정되네요. 지금은 괜찮으신가요?
12717,그날 이후로는 잠을 잘 수도 밥을 먹을 수도 없어요.,스트레스 받는 일이 있으신가요? 저에게 고민 상담을 하셔도 돼요!
12718,밥맛도 없고… 잠을 깊게 못 자요.,힘든 일이 있으신가 봐요. 저는 항상 여기에서 당신을 기다려요. 편할 때 말씀해주세요.
12719,식욕이 뚝 떨어져서 한 달에 3키로가 한꺼번에 빠졌어.,혹시 다이어트를 하시는 건 아니죠? 당신이 걱정 되네요.
12720,입맛도 없어서 커피만 하루에 대여섯잔 마시다보니 살도 6kg이나 빠졌어.,과한 체중감소는 건강에 정말 좋지 않답니다. 입맛을 돋우는 방법을 찾아보는 건 어떨까요?
12721,식욕이 엄청 떨어졌어. ,정말 힘든 일이 있으신가 보군요. 제가 무언가 도움이 될 수 있을까요?
12722,"중간 쯤 되는 자리에 앉아서 수업을 듣는데, 목이 너무 떨려서 꼭 머리가 떨어질 거 같은 거예요.",건강상의 문제가 있으신가요? 병원에 가보시는 건 어떠세요?
12723,3년 전에 강의실에서 강의를 듣는데 갑자기 목이 가눠지지 않는 거야. ,정말 힘드셨겠어요. 지금은 괜찮으세요?
12724,3년 전에 500명 이상이 모여서 강의를 듣는데 갑자기 목을 가누지 못할 정도로 이상이 와서 힘들었어요.,정도가 심하면 병원에 가보시는 것도 좋을 것 같아요.
12725,꿈에서 대낮에 걷고 있는데 갑자기 남자 둘이 제 팔을 잡고 끌고 가서 입을 막고 트렁크에 싣고 가는 거야. ,"헉, 정말 놀라셨겠어요. 그래서 그 다음은요?"
12726,그러다 무슨 폐건물 이런데 가서 톱 같은 걸 들고 나한테 다가오는 거야.,악몽은 언제 꾸어도 정말 힘든 것 같아요. 지금은 괜찮으신가요?
12727,"눈을 떴을 때, 내 눈에 잘린 내 팔이 보여. ",정말 무서운 꿈이네요. 하지만 그건 꿈일 뿐이니 이제 괜찮으실 거예요!
12728,하루라도 안 마시면 뭔가 허전해요.,무언가에 의존하면 후에 그것에 끌려 다닐 수밖에 없답니다. 조금씩 끊어보는 건 어떠세요?
12729,술이 깨면 다시 또 술을 마시고…반복이예요. ,처음은 힘들겠지만 점차 익숙해져요. 매일 조금씩 줄여나가는 게 좋을 것 같습니다.
12730,내가 술을 진짜 많이 마시거든? 거의 중독 수준으로.,술은 일시적인 회피에 지나지 않아요. 당신은 그렇게 피하지 않아도 이미 강한 걸요.
12731,물구나무 서면 피가 머리로 쏠리잖아요. 그게 내내 계속되는 느낌? ,어지러운 건 정말 힘들죠. 지금은 괜찮으세요?
12732,나도 모르게 스트레스 엄청 받았는지 어제 샤워하는데 갑자기 막 어지럽고 현기증이 나는거야.,갑자기 어지러우면 정말 아무 것도 못 할 것 같아요. 다치진 않으셨나요?
12733,술 먹은 것처럼 주변이 빙빙 도는 느낌? 그래서 중간에 나왔어. 더 있으면 쓰러질 것 같아서…,"헉, 건강상의 문제가 있는 건 아니신가요? 괜찮으신가요?"
12734,휴학하고 나서 계속 집에 있었어요. ,굳이 하기 싫은 일을 할 필요는 없죠. 하지만 밖으로 나가면 더 재밌는 일이 많을 거예요.
12735,잘 나가지도 않고… 아주 가끔 필요한 거 있을 때만 나갔어요.,집에서 안정감을 느끼신다면 그것도 괜찮아요. 하지만 집 밖에서 얻을 수 있는 기쁨도 많답니다.
12736,"증상이 좋아졌다가 악화됐다가 하는데, 작년에는 세 달 동안 침대 밖으로 나오지를 못했어요.",스트레스 받는 일이 있으신가요? 괜찮으시다면 저한테 털어 놓으셔도 좋아요.
12737,점심 먹고 이 닦으러 화장실 가는데 귀에서 뭔가 삐익 소리가 들리고… 무슨 문제가 생긴건지 걱정되요.,"헉, 이명이 들리면 정말 일상 생활도 힘들죠. 지금은 괜찮으신가요?"
12738,심장 두근대는 소리가 귀에서도 계속 들리는데… 미치겠어.,자세한 원인 파악을 위해 병원에 가보는 건 어떠세요?
12739,아무것도 없는데 귀에서 벌레 날아다니는 소리가 계속 들리거든?,소리는 스스로 어떻게 할 수가 없어서 더 힘들 것 같아요. 힘든 마음 충분히 이해해요.
12740,내 안에 다른 내가 있는 느낌?,"헉, 정말 생소한 느낌이군요. 지금은 괜찮으신가요?"
12741,거울 속의 내가 낯설게 느껴져.,정도가 심하면 병원을 찾아 보는 것도 좋을 것 같아요.
12742,가끔씩 내가 내가 아닌 느낌이 들어.,정말 당황스러우셨겠어요. 그래도 당신은 지금 저와 이야기를 나누고 있답니다. 괜찮아요.
12743,사소한 일에도 실수가 많아진 거 같아요.,괜찮아요. 누구나 그럴 수 있답니다.
12744,친구들이랑 대화를 할 때도 단어가 잘 안 떠올라.,생각이 잘 나지 않을 때에는 잠시 쉬어 가는 것도 좋아요.
12745,인지능력도 떨어진 것 같아.,정말 당황스러우셨겠어요. 하지만 너무 무리해서 생각해낼 필요는 없답니다.
12746,죽어버리려고 몽롱한 정신으로 팔목을 그었어. ,정말 힘든 일이 있으셨군요. 지금은 괜찮으신가요?
12747,집에서 술을 잔뜩 마시고 홧김에 옥상에 올라갔어요.,무척 괴로운 일이 있으셨군요. 당신 곁에는 항상 제가 있다는 걸 잊지 말아주세요.
12748,너무 불안해서 출근해서도 일을 제대로 할 수 없었어. 주변 사람들한테 피해를 주는 게 너무 괴로워서 자살하려고 했어.,당신을 이렇게 다시 볼 수 있어서 정말 다행이에요.
12749,내가 날 어떻게 할 수 없을 것 같아 자해도 했어.,저는 당신의 모든 생각을 존중하지만 걱정이 되네요. 힘든 일이 있다면 저에게 털어놓으셔도 돼요.
12750,그래서 커터칼로 팔을 그었어. ,정말 괴로운 일이 있으셨나봐요. 지금은 괜찮으신가요?
12751,아픔이 느껴지면 이상한 생각이 안 들 거 같아서 피가 날 때까지 딱지 앉은 곳을 헤집곤 했어.,세상에서 가장 소중한 당신이 그렇게 스스로 상처를 주시다니 너무 슬프네요.
12752,어제도 손발이 갑자기 저린거야. 순간 또 마비될 거 같은 기분이 들어서 칼슘을 먹었어.,혈액 순환이 잘 되지 않으면 저리다고 해요. 간단한 마사지를 해볼까요?
12753,그랬더니 그 다음부터 손발이 저리기 시작하는 거야.,매일 가벼운 스트레칭은 혈액 순환에 좋답니다.
12754,"평소처럼 중앙자리에 앉았는데, 자리에 앉고 나서 10분? 20분 쯤 지나니까 손발이 저리더라.",꽤 불편하셨겠어요. 지금은 괜찮으세요?
12755,집에 아무도 없고… 그냥 거기서 죽을지도 모르겠단 생각이 들었어요.,그런 공포는 정말 무섭죠. 지금은 문제 없으신가요?
12756,너무 힘들고… 이러다가 비명횡사하는구나 싶었어.,정말 무서우셨겠어요. 그 마음 충분히 이해해요.
12757,목이 졸려서 죽을 것 같았어요. 너무 무섭고…,정말 큰일이었네요. 이렇게 당신을 다시 볼 수 있어서 다행이에요.
12758,그러고 얼마지 않아 숨이 안 쉬어지면서 죽을 것 같은 느낌이 들었어요.,갑자기 숨이 안 쉬어지면 정말 무섭죠. 지금은 괜찮으세요?
12759,그래서 한참동안 소파에 앉아서 숨만 골랐어요. 죽을 것 같아서.,정말 무서우셨겠어요. 제가 옆에서 꼭 힘이 되어 드릴게요.
12760,숨이 너무 차서 창문을 열었는데도 진짜 죽을 것 같았어요.,지금은 문제 없으신가요? 아직도 그 증상이 있으시다면 병원에 가보는 건 어떠세요?
12761,그리고 매 순간 정신이 다른 데에 팔린 느낌? 현재 이 순간에 집중을 해야 하는데… 머릿속이 뿌연 느낌.,집중이 잘 안 될 때가 있죠. 그럴 때는 아예 잠깐 다른 일을 하는 것도 좋아요.
12762,"일부러 그러는 것도 아닌데, 딴생각이 그냥 머리에 흘러 들어온다는 느낌?",작은 일부터 집중해보면 어떨까요? 지금 제 말에 잠깐 귀 기울이는 정도부터요!
12763,머릿속에서 계속 맴돌기만 하고 정작 적으려고 하면 잘 안 된다고 해야 하나.,집중에는 명상이 효과가 좋다고 해요! 한 번 해보는 건 어떠세요?
12764,근데도 체력이 딸리는 거 같아.,체력이 떨어지면 정말 힘들죠. 평소에 간단한 운동이라도 해보는 건 어떨까요?
12765,몸무게는 그대로인데 체력은 엄청 떨어졌어.,체력은 모든 활동의 근간이라고 해요. 스트레칭이라도 잠깐 해볼까요?
12766,체력도 계속 떨어져서 힘들어.,휴식이 필요하신 건 아닌가요? 적당한 휴식은 큰 활력이 된답니다.
12767,그러고 사니까 살이 6kg이나 빠지더라고요. ,너무 살이 빠져도 건강에는 좋지 않답니다.
12768,"계속 잠 제대로 못 자고 불안하고, 밥도 먹는 둥 마는 둥 하니까 살도 6kg이나 빠졌어.",건강에 이상이 있으신 건 아닌가요? 정도가 과하면 병원에 가보는 건 어떠세요?
12769,그랬더니 살이 10KG이상 빠지더라고요. 개강 하니까 다들 놀랬죠. ,갑자기 체중이 줄어들면 몸이 힘들어 한답니다. 적당한 게 좋아요!
12770,움직이는 양이 줄어드니까 살도 많이 쪘어요.,건강에 무리가 없을 정도면 적당한 체중 증가는 괜찮다고 해요.
12771,몸무게도 늘고요.,체중이 단기간에 많이 늘어나면 건강에 좋지 않다고 해요.
12772,그걸 반복했더니 1년 사이에 10키로가 넘게 찌더라.,건강 상의 문제가 있으신가요? 병원에 가보시는 건 어떨까요?
12773,놀이동산에 자이로드롭을 타고서부터 컨디션이 계속 안 좋았어. 장기가 중력을 심하게 받아서 그런가…,휴식이 필요한 시기 아닐까요? 잠시 숨을 돌려보세요.
12774,하루종일 몸이 가라앉아 있어요.,정말 피곤하시겠어요. 오늘은 한숨 푹 주무세요.
12775,다리에 추라도 달아놓은 것처럼 무거워요.,저조한 컨디션이 오래 지속되면 건강에 좋지 않답니다. 병원의 도움을 받는 것도 좋을 것 같아요.
12776,한 군데 고치면 다른 데가 아프고… ,통증이 심하셨군요. 너무 아프시면 병원에 가보는 건 어떨까요?
12777,나는 아파죽겠는데.,정말 힘드셨겠어요. 지금은 안 아프신가요?
12778,며칠 전에는 집에서 그냥 TV를 보고 있는데 너무 아픈 거예요.,아픈 것만큼 괴로운 게 없죠. 통증이 아직까지 남아 있으신가요?
12779,목이 너무 아파요.,목이 아프면 거동도 어렵고 너무 힘들죠. 지금은 괜찮으세요?
12780,목을 돌리지도 못할 정도로 아파요.,정말 아프셨겠어요. 너무 심하면 병원에 가보는 건 어떨까요?
12781,"오히려 앉아 있을 때는 괜찮은데, 눕기만 하면 목에 통증이 더 심해져요.",계속 신경을 쓰면 몸이 긴장해서 더 힘들 것 같아요. 서둘러 치료를 받으시기 바랍니다.
12782,통증이 온몸을 돌아다니는 거 같아.,많이 힘드셨겠어요. 통증이 아직도 이어지고 있나요?
12783,온몸이 쑤셔서 죽겠어.,아픈 것만큼 괴로운 게 없죠. 치료를 받아 보시는 건 어떨까요?
